allocation_id,payment_id,seller_id,gross_allocated_paise,commission_paise,net_seller_paise,allocation_status,allocation_date
ALLOC_0001,EV01_P2,SELL_01,600000,72000,528000,SETTLED,2026-02-03
ALLOC_0002,EV01_P2,SELL_04,350000,42000,308000,SETTLED,2026-02-03
ALLOC_0003,EV01_P3,SELL_02,432000,34560,397440,SETTLED,2026-02-03
ALLOC_0004,EV02_P3,SELL_03,496000,74400,421600,SETTLED,2026-02-05
ALLOC_0005,EV02_P4,SELL_05,232500,18600,213900,SETTLED,2026-02-05
ALLOC_0006,EV03_P1,SELL_02,450000,36000,414000,SETTLED,2026-02-07
ALLOC_0007,EV04_P1,SELL_04,700000,84000,616000,SETTLED,2026-02-09
ALLOC_0008,EV05_P1,SELL_03,114190,17129,97061,SETTLED,2026-02-11
ALLOC_0009,EV05_P4,SELL_01,195520,23462,172058,SETTLED,2026-02-11
ALLOC_0010,EV06_P1,SELL_05,480000,38400,441600,SETTLED,2026-02-13
ALLOC_0011,EV06_P1,SELL_02,540000,43200,496800,SETTLED,2026-02-13
ALLOC_0012,EV08_P1,SELL_01,560000,67200,492800,SETTLED,2026-02-17
ALLOC_0013,EV10_P1,SELL_04,980000,117600,862400,SETTLED,2026-02-21
ALLOC_0014,EV10_P1,SELL_03,280000,42000,238000,SETTLED,2026-02-21
ALLOC_0015,EV11_P1,SELL_02,540000,43200,496800,SETTLED,2026-02-23
ALLOC_0016,EV11_P2,SELL_05,510000,40800,469200,SETTLED,2026-02-23
ALLOC_0017,EV14_P1,SELL_01,605000,72600,532400,SETTLED,2026-02-27
ALLOC_0018,EV15_P1,SELL_03,700000,105000,595000,SETTLED,2026-03-01
ALLOC_0019,EV17_P1,SELL_04,750000,90000,660000,SETTLED,2026-03-05
ALLOC_0020,EV20_P1,SELL_02,315000,25200,289800,SETTLED,2026-03-11
ALLOC_0021,EV20_P2,SELL_05,315000,25200,289800,SETTLED,2026-03-11
ALLOC_0022,EV21_P1,SELL_01,450000,54000,396000,SETTLED,2026-03-13
ALLOC_0023,PIPE_P001,SELL_01,291000,34920,256080,PENDING,2026-03-16
ALLOC_0024,PIPE_P001,SELL_04,145500,17460,128040,PENDING,2026-03-16
ALLOC_0025,PIPE_P002,SELL_02,200000,16000,184000,PENDING,2026-03-16
ALLOC_0026,PIPE_P003,SELL_05,840000,67200,772800,PENDING,2026-03-16
ALLOC_0027,PIPE_P005,SELL_03,667800,100170,567630,PENDING,2026-03-17
ALLOC_0028,PIPE_P007,SELL_01,327500,39300,288200,PENDING,2026-03-17
ALLOC_0029,PIPE_P007,SELL_02,262000,20960,241040,PENDING,2026-03-17
ALLOC_0030,PIPE_P008,SELL_05,1184000,94720,1089280,PENDING,2026-03-18
ALLOC_0031,PIPE_P009,SELL_04,286300,34356,251944,PENDING,2026-03-18
ALLOC_0032,PIPE_P011,SELL_03,578500,86775,491725,PENDING,2026-03-18
ALLOC_0033,PIPE_P012,SELL_01,373100,44772,328328,PENDING,2026-03-19
ALLOC_D4A,EV18_P1,SELL_01,800000,96000,704000,SETTLED,2026-03-07
ALLOC_D4B,EV18_P1,SELL_05,400000,32000,368000,SETTLED,2026-03-07
ALLOC_D4C,EV19_P1,SELL_03,900000,135000,765000,SETTLED,2026-03-09
